Time,head_x,head_y,head_z,neck_x,neck_y,neck_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_upper_arm_x,left_upper_arm_y,left_upper_arm_z,right_upper_arm_x,right_upper_arm_y,right_upper_arm_z,left_forearm_x,left_forearm_y,left_forearm_z,right_forearm_x,right_forearm_y,right_forearm_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,t8_x,t8_y,t8_z,t12_x,t12_y,t12_z,l3_x,l3_y,l3_z,l5_x,l5_y,l5_z,pelvis_x,pelvis_y,pelvis_z,left_upper_leg_x,left_upper_leg_y,left_upper_leg_z,right_upper_leg_x,right_upper_leg_y,right_upper_leg_z,left_lower_leg_x,left_lower_leg_y,left_lower_leg_z,right_lower_leg_x,right_lower_leg_y,right_lower_leg_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,left_toe_x,left_toe_y,left_toe_z,right_toe_x,right_toe_y,right_toe_z
0,256,1229,0,268,1089,0,256,1037,0,286,1039,0,183,1018,0,362,1027,0,157,762,0,436,773,0,99,646,0,485,645,0,275,978,0,280,904,0,284,837,0,288,769,0,292,687,0,242,686,0,344,687,0,256,425,0,336,455,0,278,215,0,332,313,0,255,176,0,346,279,0
0,247,1233,0,259,1092,0,248,1040,0,278,1042,0,175,1020,0,355,1030,0,152,762,0,431,775,0,97,645,0,486,646,0,268,980,0,273,906,0,278,838,0,283,770,0,292,687,0,236,686,0,340,687,0,256,423,0,335,453,0,281,217,0,332,318,0,258,176,0,347,282,0
0,241,1239,0,254,1096,0,243,1044,0,273,1046,0,169,1023,0,350,1034,0,149,763,0,428,778,0,97,645,0,486,647,0,263,984,0,268,909,0,273,841,0,278,772,0,291,688,0,233,687,0,336,689,0,253,423,0,334,453,0,281,220,0,331,322,0,259,177,0,346,284,0
0,241,1239,0,254,1096,0,243,1044,0,273,1046,0,169,1023,0,350,1034,0,149,763,0,428,778,0,97,645,0,486,647,0,263,984,0,268,909,0,273,841,0,278,772,0,291,688,0,233,687,0,336,689,0,253,423,0,334,453,0,281,220,0,331,322,0,259,177,0,346,284,0
0,230,1245,0,243,1102,0,233,1049,0,263,1051,0,159,1028,0,341,1038,0,145,763,0,423,781,0,96,644,0,487,648,0,253,988,0,259,913,0,265,844,0,270,774,0,291,689,0,226,688,0,329,691,0,252,422,0,336,449,0,282,224,0,331,329,0,262,181,0,346,287,0
0,230,1245,0,243,1102,0,233,1049,0,263,1051,0,159,1028,0,341,1038,0,145,763,0,423,781,0,96,644,0,487,648,0,253,988,0,259,913,0,265,844,0,270,774,0,291,689,0,226,688,0,329,691,0,252,422,0,336,449,0,282,224,0,331,329,0,262,181,0,346,287,0
0,223,1249,0,238,1104,0,227,1051,0,258,1053,0,153,1030,0,336,1041,0,142,763,0,422,784,0,96,643,0,487,649,0,248,990,0,254,914,0,260,845,0,266,775,0,291,690,0,221,688,0,325,692,0,251,423,0,337,447,0,283,226,0,331,333,0,263,184,0,346,289,0
0,214,1252,0,229,1107,0,219,1053,0,250,1055,0,145,1031,0,329,1044,0,139,763,0,419,786,0,95,642,0,487,650,0,240,992,0,247,916,0,253,846,0,260,776,0,291,690,0,217,688,0,319,692,0,251,424,0,342,441,0,285,232,0,334,341,0,266,190,0,348,294,0
0,214,1252,0,229,1107,0,219,1053,0,250,1055,0,145,1031,0,329,1044,0,139,763,0,419,786,0,95,642,0,487,650,0,240,992,0,247,916,0,253,846,0,260,776,0,291,690,0,217,688,0,319,692,0,251,424,0,342,441,0,285,232,0,334,341,0,266,190,0,348,294,0
0,211,1253,0,227,1107,0,217,1053,0,247,1056,0,143,1031,0,327,1045,0,137,763,0,417,787,0,96,642,0,487,649,0,238,993,0,245,917,0,251,847,0,258,776,0,291,690,0,214,688,0,319,692,0,251,424,0,347,439,0,285,234,0,338,345,0,266,193,0,353,296,0
0,209,1252,0,225,1107,0,215,1053,0,245,1056,0,141,1031,0,324,1045,0,137,763,0,415,787,0,96,642,0,487,650,0,236,992,0,243,916,0,250,847,0,257,776,0,291,690,0,212,688,0,318,693,0,250,425,0,351,436,0,285,237,0,341,347,0,267,196,0,356,298,0
0,206,1252,0,222,1106,0,212,1052,0,243,1055,0,138,1030,0,322,1044,0,136,763,0,414,787,0,96,642,0,487,650,0,234,992,0,241,916,0,247,846,0,255,776,0,291,690,0,210,688,0,316,693,0,250,426,0,353,434,0,285,239,0,343,347,0,267,198,0,359,298,0
0,204,1251,0,221,1106,0,211,1052,0,241,1055,0,137,1030,0,320,1044,0,135,762,0,413,787,0,97,642,0,487,650,0,232,991,0,239,916,0,246,846,0,253,776,0,291,690,0,209,687,0,315,693,0,249,426,0,355,432,0,285,241,0,344,344,0,268,201,0,362,295,0
0,203,1252,0,219,1106,0,210,1052,0,240,1055,0,136,1030,0,319,1044,0,134,762,0,411,787,0,97,642,0,487,650,0,231,992,0,238,916,0,245,846,0,252,776,0,291,690,0,209,687,0,314,693,0,250,427,0,355,430,0,286,244,0,347,337,0,269,204,0,365,289,0
0,202,1250,0,219,1105,0,209,1052,0,239,1054,0,135,1030,0,318,1043,0,133,762,0,410,787,0,97,642,0,486,650,0,230,991,0,237,915,0,244,846,0,251,776,0,291,690,0,208,687,0,313,693,0,250,428,0,353,429,0,286,246,0,349,327,0,270,206,0,367,279,0
0,201,1248,0,218,1103,0,208,1050,0,238,1052,0,134,1029,0,316,1041,0,133,762,0,409,786,0,97,641,0,486,650,0,229,990,0,236,914,0,243,845,0,250,775,0,291,690,0,207,687,0,312,693,0,251,429,0,351,428,0,287,248,0,351,315,0,271,209,0,369,267,0
0,201,1246,0,217,1102,0,207,1049,0,237,1051,0,134,1028,0,316,1040,0,132,761,0,408,786,0,97,641,0,486,651,0,228,988,0,236,913,0,242,844,0,250,775,0,291,690,0,207,687,0,312,693,0,251,430,0,348,427,0,287,251,0,353,302,0,271,212,0,371,255,0
0,200,1244,0,216,1100,0,206,1048,0,236,1050,0,133,1027,0,314,1038,0,132,761,0,407,786,0,97,641,0,486,651,0,227,987,0,234,912,0,241,844,0,249,774,0,291,689,0,207,687,0,310,693,0,251,431,0,345,426,0,287,253,0,354,289,0,272,215,0,370,242,0
0,199,1242,0,215,1099,0,205,1047,0,235,1048,0,132,1026,0,313,1037,0,131,760,0,406,785,0,97,641,0,485,651,0,227,986,0,234,911,0,241,843,0,248,774,0,291,689,0,206,686,0,310,693,0,252,433,0,343,426,0,288,256,0,354,276,0,272,218,0,370,231,0
0,199,1239,0,215,1097,0,205,1045,0,235,1046,0,132,1024,0,313,1035,0,131,759,0,405,785,0,98,640,0,484,651,0,226,985,0,234,910,0,240,842,0,248,773,0,291,689,0,206,686,0,309,692,0,252,434,0,341,425,0,288,258,0,353,264,0,273,221,0,369,219,0
0,199,1235,0,215,1094,0,205,1042,0,235,1044,0,132,1022,0,312,1032,0,131,758,0,405,784,0,97,640,0,485,652,0,226,982,0,233,908,0,240,840,0,247,772,0,291,688,0,206,686,0,308,692,0,252,435,0,339,425,0,289,260,0,351,254,0,274,223,0,367,209,0
0,199,1231,0,214,1091,0,205,1039,0,234,1041,0,132,1019,0,311,1030,0,131,757,0,405,784,0,97,640,0,485,652,0,225,980,0,233,906,0,239,839,0,247,771,0,292,688,0,205,685,0,307,691,0,253,436,0,337,425,0,289,262,0,349,244,0,274,226,0,364,199,0
0,199,1227,0,214,1088,0,205,1037,0,234,1038,0,133,1017,0,311,1027,0,131,755,0,405,784,0,97,639,0,484,653,0,225,978,0,233,905,0,239,837,0,247,770,0,292,687,0,205,685,0,307,690,0,253,437,0,335,425,0,289,265,0,347,234,0,275,229,0,361,190,0
0,200,1224,0,215,1086,0,205,1035,0,234,1036,0,133,1015,0,310,1025,0,131,755,0,404,783,0,96,639,0,484,653,0,226,976,0,233,903,0,239,836,0,247,769,0,292,687,0,206,684,0,306,690,0,253,438,0,333,425,0,289,267,0,345,227,0,275,231,0,359,184,0
0,202,1219,0,217,1083,0,207,1032,0,236,1034,0,136,1012,0,311,1023,0,132,754,0,404,782,0,96,640,0,483,652,0,227,974,0,234,902,0,241,835,0,248,769,0,292,686,0,207,684,0,307,689,0,254,439,0,332,426,0,290,269,0,343,220,0,276,234,0,357,177,0
0,203,1213,0,217,1078,0,208,1028,0,237,1030,0,137,1009,0,311,1019,0,133,752,0,404,781,0,96,639,0,483,652,0,228,971,0,235,899,0,241,833,0,248,767,0,292,686,0,207,683,0,307,688,0,254,439,0,330,426,0,290,270,0,341,214,0,276,235,0,354,171,0
0,204,1210,0,219,1076,0,209,1026,0,238,1028,0,139,1007,0,312,1017,0,133,751,0,405,780,0,95,640,0,484,652,0,229,969,0,236,897,0,242,832,0,249,766,0,292,685,0,208,683,0,308,688,0,255,440,0,329,426,0,290,272,0,339,209,0,277,238,0,352,168,0
0,205,1208,0,220,1075,0,210,1025,0,239,1027,0,140,1005,0,313,1016,0,133,751,0,406,780,0,95,640,0,484,652,0,230,968,0,237,897,0,243,831,0,250,766,0,292,685,0,209,683,0,308,687,0,256,442,0,328,427,0,291,275,0,336,207,0,277,241,0,349,166,0
0,207,1205,0,221,1072,0,212,1023,0,241,1025,0,142,1003,0,314,1014,0,133,751,0,406,779,0,95,640,0,484,652,0,232,966,0,238,895,0,245,830,0,251,765,0,292,685,0,210,683,0,309,687,0,257,443,0,327,427,0,291,277,0,334,204,0,278,243,0,347,164,0
0,209,1202,0,223,1071,0,213,1022,0,242,1023,0,144,1002,0,316,1013,0,133,751,0,406,778,0,95,640,0,484,651,0,233,965,0,240,894,0,246,830,0,252,764,0,292,684,0,211,682,0,310,686,0,258,444,0,326,427,0,292,279,0,333,203,0,279,246,0,345,164,0
0,211,1198,0,224,1068,0,215,1019,0,243,1020,0,146,1000,0,317,1010,0,133,750,0,406,777,0,94,640,0,485,651,0,234,963,0,241,893,0,247,828,0,253,763,0,292,683,0,212,682,0,310,685,0,259,444,0,326,427,0,292,281,0,331,202,0,279,248,0,344,163,0
0,212,1195,0,225,1065,0,216,1017,0,244,1018,0,147,998,0,317,1008,0,133,750,0,407,776,0,94,641,0,485,651,0,235,961,0,242,891,0,248,827,0,254,762,0,293,683,0,213,681,0,311,685,0,259,445,0,325,427,0,292,283,0,329,201,0,279,250,0,342,162,0
0,213,1195,0,226,1065,0,216,1017,0,244,1018,0,147,998,0,318,1007,0,133,750,0,407,776,0,93,641,0,485,651,0,236,961,0,242,891,0,248,827,0,254,762,0,293,683,0,213,681,0,311,684,0,259,446,0,324,428,0,292,285,0,328,202,0,279,253,0,341,164,0
0,214,1193,0,227,1064,0,217,1016,0,245,1017,0,148,997,0,318,1006,0,133,750,0,407,775,0,93,641,0,484,651,0,236,960,0,242,890,0,248,826,0,254,762,0,293,682,0,213,681,0,311,684,0,259,447,0,323,428,0,292,288,0,327,204,0,279,256,0,339,167,0
0,215,1192,0,227,1063,0,218,1015,0,246,1016,0,148,997,0,319,1005,0,134,750,0,407,774,0,93,641,0,484,650,0,237,959,0,243,890,0,248,826,0,254,762,0,293,682,0,213,681,0,310,684,0,258,447,0,323,428,0,291,290,0,326,206,0,279,258,0,339,169,0
0,216,1192,0,228,1063,0,218,1015,0,246,1016,0,149,997,0,319,1004,0,134,750,0,406,773,0,93,641,0,483,650,0,237,959,0,243,890,0,248,826,0,254,761,0,293,682,0,213,681,0,310,684,0,258,448,0,322,428,0,290,292,0,326,209,0,279,260,0,339,172,0
0,216,1192,0,228,1063,0,218,1015,0,246,1016,0,149,997,0,319,1004,0,135,750,0,406,772,0,93,641,0,483,650,0,237,959,0,243,889,0,248,825,0,254,761,0,293,682,0,212,681,0,310,683,0,257,449,0,321,428,0,290,294,0,325,212,0,278,262,0,338,175,0
0,217,1193,0,228,1063,0,218,1015,0,246,1016,0,149,998,0,319,1004,0,135,750,0,407,772,0,93,641,0,483,650,0,237,959,0,243,889,0,248,826,0,254,761,0,293,682,0,212,681,0,310,683,0,257,450,0,320,429,0,289,296,0,325,215,0,278,264,0,338,178,0
0,218,1193,0,229,1064,0,219,1016,0,247,1016,0,150,998,0,320,1004,0,135,750,0,408,772,0,92,641,0,483,650,0,238,959,0,244,889,0,249,825,0,255,761,0,293,682,0,213,681,0,310,683,0,257,450,0,320,429,0,290,298,0,324,217,0,278,266,0,338,179,0
0,220,1193,0,231,1064,0,221,1016,0,249,1016,0,151,998,0,322,1004,0,136,750,0,409,771,0,93,642,0,484,650,0,240,959,0,245,889,0,250,825,0,256,761,0,293,682,0,214,681,0,312,683,0,258,451,0,320,429,0,290,299,0,324,219,0,278,268,0,338,181,0
0,222,1195,0,233,1065,0,223,1017,0,251,1017,0,153,1000,0,324,1004,0,137,751,0,410,771,0,93,642,0,484,649,0,242,960,0,247,890,0,252,826,0,257,762,0,293,682,0,215,681,0,313,683,0,259,452,0,321,429,0,290,302,0,324,221,0,279,271,0,338,182,0
0,224,1196,0,235,1066,0,224,1018,0,253,1018,0,154,1001,0,326,1005,0,137,752,0,410,770,0,93,643,0,484,649,0,243,961,0,248,891,0,253,827,0,259,762,0,293,682,0,216,682,0,314,684,0,260,452,0,321,429,0,291,304,0,324,223,0,279,273,0,339,183,0
0,226,1198,0,237,1068,0,226,1019,0,255,1020,0,156,1003,0,328,1006,0,137,753,0,411,770,0,92,643,0,484,649,0,245,962,0,250,892,0,255,827,0,260,762,0,293,683,0,217,682,0,316,684,0,260,453,0,321,429,0,290,307,0,324,225,0,279,275,0,339,184,0
0,229,1199,0,239,1068,0,228,1020,0,257,1020,0,158,1003,0,330,1006,0,138,754,0,412,769,0,92,643,0,484,648,0,247,963,0,252,892,0,257,828,0,262,763,0,293,683,0,218,682,0,318,684,0,261,453,0,322,429,0,290,308,0,325,227,0,279,276,0,339,185,0
0,233,1202,0,242,1070,0,231,1022,0,260,1022,0,160,1005,0,333,1008,0,138,755,0,414,769,0,91,644,0,484,647,0,250,964,0,254,893,0,259,828,0,264,763,0,292,683,0,220,683,0,320,684,0,261,454,0,323,429,0,291,311,0,325,229,0,280,277,0,339,187,0
0,235,1205,0,244,1072,0,233,1023,0,262,1024,0,162,1007,0,336,1009,0,138,757,0,415,769,0,91,645,0,485,647,0,252,966,0,256,895,0,261,829,0,265,764,0,292,684,0,221,684,0,321,684,0,261,454,0,324,429,0,290,314,0,324,231,0,280,279,0,339,189,0
0,238,1207,0,247,1074,0,236,1025,0,264,1025,0,164,1009,0,338,1011,0,139,758,0,417,769,0,91,645,0,485,646,0,254,967,0,258,896,0,263,830,0,267,765,0,292,684,0,223,684,0,323,684,0,260,454,0,324,429,0,290,316,0,324,232,0,280,280,0,338,190,0
0,241,1209,0,250,1075,0,238,1026,0,267,1026,0,167,1010,0,341,1012,0,140,759,0,419,769,0,91,645,0,486,646,0,256,968,0,261,897,0,265,831,0,269,765,0,292,685,0,224,685,0,325,685,0,260,453,0,325,429,0,290,318,0,324,234,0,280,281,0,337,192,0
0,244,1211,0,253,1077,0,241,1027,0,270,1028,0,169,1011,0,344,1013,0,141,760,0,421,769,0,91,646,0,486,645,0,259,969,0,263,898,0,267,832,0,271,766,0,292,685,0,226,685,0,327,685,0,260,453,0,326,429,0,290,321,0,324,236,0,281,283,0,337,194,0
0,248,1214,0,256,1079,0,244,1030,0,273,1030,0,172,1014,0,348,1015,0,142,762,0,423,769,0,90,647,0,487,645,0,262,971,0,266,899,0,270,833,0,274,767,0,292,686,0,228,686,0,330,685,0,259,453,0,327,430,0,290,324,0,324,238,0,282,284,0,337,197,0
0,252,1217,0,259,1081,0,247,1031,0,277,1031,0,175,1016,0,351,1016,0,143,764,0,424,769,0,90,647,0,487,644,0,265,973,0,269,900,0,272,834,0,276,768,0,292,686,0,229,687,0,332,686,0,258,452,0,328,430,0,290,327,0,324,241,0,282,286,0,336,200,0
0,255,1218,0,262,1082,0,250,1033,0,280,1033,0,177,1018,0,354,1017,0,143,765,0,426,768,0,90,648,0,487,644,0,268,974,0,271,901,0,275,835,0,278,768,0,292,686,0,231,687,0,334,686,0,257,451,0,330,431,0,290,330,0,324,243,0,282,288,0,336,202,0
0,259,1219,0,265,1083,0,253,1033,0,282,1033,0,180,1019,0,357,1017,0,144,766,0,426,768,0,90,648,0,487,643,0,270,974,0,274,902,0,277,836,0,280,769,0,292,687,0,233,687,0,336,686,0,254,449,0,330,431,0,288,333,0,324,245,0,282,289,0,336,205,0
0,261,1219,0,268,1083,0,255,1034,0,284,1033,0,182,1020,0,359,1016,0,144,768,0,427,767,0,89,649,0,487,642,0,272,975,0,276,902,0,278,836,0,282,769,0,292,687,0,234,688,0,337,686,0,250,448,0,330,432,0,287,336,0,323,248,0,281,290,0,335,208,0
0,264,1220,0,269,1084,0,257,1034,0,286,1034,0,183,1021,0,361,1016,0,144,769,0,427,766,0,88,649,0,487,642,0,274,975,0,277,903,0,280,836,0,283,769,0,292,687,0,236,688,0,337,685,0,246,446,0,330,433,0,284,339,0,321,250,0,279,292,0,333,211,0
0,265,1220,0,271,1084,0,258,1035,0,287,1034,0,184,1021,0,362,1016,0,144,769,0,427,766,0,88,649,0,486,642,0,275,975,0,278,903,0,281,836,0,283,769,0,292,687,0,236,688,0,338,685,0,242,444,0,329,434,0,281,340,0,320,254,0,275,292,0,332,216,0
0,266,1219,0,271,1083,0,258,1034,0,288,1033,0,185,1021,0,362,1015,0,145,769,0,428,765,0,88,649,0,485,642,0,276,975,0,278,903,0,281,836,0,284,769,0,292,687,0,237,688,0,338,686,0,238,441,0,328,436,0,277,340,0,319,258,0,271,292,0,331,220,0
0,267,1218,0,272,1083,0,259,1034,0,289,1033,0,186,1021,0,363,1015,0,147,768,0,428,765,0,89,649,0,484,642,0,276,975,0,279,902,0,281,836,0,284,769,0,292,687,0,237,688,0,338,686,0,235,440,0,328,438,0,274,338,0,318,262,0,266,290,0,330,224,0
0,268,1217,0,273,1082,0,260,1033,0,289,1032,0,187,1020,0,363,1014,0,148,768,0,427,765,0,89,649,0,484,642,0,277,974,0,280,902,0,282,836,0,285,769,0,292,687,0,237,688,0,338,686,0,233,439,0,327,439,0,271,333,0,317,265,0,261,286,0,329,228,0
0,269,1216,0,274,1081,0,261,1033,0,290,1032,0,188,1019,0,364,1014,0,149,768,0,427,764,0,90,649,0,483,642,0,278,974,0,281,902,0,283,836,0,286,769,0,292,687,0,238,689,0,339,686,0,232,438,0,327,441,0,268,327,0,317,267,0,258,280,0,329,231,0
